model,variable,coef,se,pvalue,nobs,r2
m2,C(ubigeo)[T.130120],-0.17112823513175707,0.00419657505434328,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.130202],-0.18416913738672347,0.00434630001473068,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.130203],-0.1502918487352585,0.004011452577794413,3.3355525886248667e-307,51862,0.034120678215294964
m2,C(ubigeo)[T.130204],-0.16549349463661606,0.004151064230478745,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.130205],-0.1543615444556862,0.0039780298062868785,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.130206],-0.11728993615412105,0.003765957579394667,5.967730089658114e-213,51862,0.034120678215294964
m2,C(ubigeo)[T.130302],-0.011910141775065271,0.003644993873010482,0.0010848879606334119,51862,0.034120678215294964
m2,C(ubigeo)[T.130303],0.000910520613804399,0.0038729782389460335,0.8141344393229963,51862,0.034120678215294964
m2,C(ubigeo)[T.130304],-0.15966289261814556,0.0037042375804477155,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.130305],-0.17500282081739219,0.003924715999162045,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.130306],-0.11154227750075592,0.00456783660790931,1.0731188046531638e-131,51862,0.034120678215294964
m2,C(ubigeo)[T.130307],-0.1538655481595224,0.004043155205113397,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.130308],-0.17948412786883805,0.00397483613294407,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.130309],-0.13767455150005686,0.003913517217766998,4.1542517008041805e-271,51862,0.034120678215294964
m2,C(ubigeo)[T.130310],-0.1704304683375273,0.0038563949748778616,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.130311],-0.15684556211869227,0.004645501347548571,6.915690276476598e-250,51862,0.034120678215294964
m2,C(ubigeo)[T.130312],-0.0907399114915854,0.0039580402229005655,2.5895163488525695e-116,51862,0.034120678215294964
m2,C(ubigeo)[T.140102],-0.17384131493187902,0.004708362302650156,2.063824556114868e-298,51862,0.034120678215294964
m2,C(ubigeo)[T.140103],-0.19335152379106954,0.004947070892068325,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140104],-0.19568845558898942,0.004982120322256385,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140105],-0.2013755502372949,0.005200728876551826,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140106],-0.20100669513976122,0.005239570025939144,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140107],-0.18582890928282925,0.004800855436496568,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140108],-0.19768521132853703,0.005044952771387087,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140109],-0.19353157394489906,0.004930203413355435,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140110],-0.18470883501470534,0.004785088769866283,0.0,51862,0.034120678215294964
